id,text,language,hate_type,target_group,severity,confidence,source_dataset
0,বৌদির দুধ দেকে তো আমার ই চোখ ঠিক ছিলো না - পোলাপান এর চোখ কিভাবে ঠিক থাকবে!,bangla,4,1,1,1.0,bengali_hate_v2
1,"এই সরকার কে যারা নির্লজ্জের মত সাপোর্ট দিয়েছে বছরের পর বছর, তাদের আরো এমন রাস্তায় রাস্তায় কাঁদতে হবে ",bangla,1,2,1,1.0,bengali_hate_v2
2,পিলখানা হত্যাকান্ড বাংলাদেশের প্রতিরক্ষা ব্যবস্থা ধ্বংসের জন্য ভারতের প্রত্যক্ষ সহযোগিতায় এই হত্যাকা- ঘটানো হয়েছিল ,bangla,5,-1,1,1.0,bengali_hate_v2
3,ভারতের অর্থনীতি নিয়ে আপনাদের ভাবতে হবে না। ভারতের অর্থনীতি নিয়ে ভারত সরকার আছে। আদার বেপারী জাহাজের খোঁজ নিয়ে লাভ নাই।,bangla,5,-1,1,1.0,bengali_hate_v2
4,খানকির পুলা মালায়নদের মেরে সাফা করে ফেল,bangla,4,1,1,1.0,bengali_hate_v2
5,শুয়োর এর বাচ্চা দুরগারে চুদি কুত্তা দিয়া কালিরে চুদি পাঠা দিয়া তোর মারে চুদি আমার সোনা দিয়া সিং,bangla,4,1,1,1.0,bengali_hate_v2
6,মাগীর পাছায় লাথি মেরে ওই প্লাটফর্মে রেখে আসা উচিত ,bangla,4,1,1,1.0,bengali_hate_v2
7,আমরা তো দেখলাম ইউটিউব এর মাধ্যমে গাড়ি আওয়ামী লীগ এর লোকজনে পোড়ালো। অথচ মামলা করে দিলো বিএনপির নামে।,bangla,1,2,1,1.0,bengali_hate_v2
8,"সানিউর কুত্তার বাচ্চা, তুর বোনেরে চুদমু তুর কান্দে ফালাইয়া, তুর মাইরে চুদমো তুর বাবার কান্দে ফালাইয়া, বান্দির বাচ্চা রেন্ডির সন্তান,",bangla,2,3,1,1.0,bengali_hate_v2
9,ভারতে মুসলমান খেদাও আন্দোলনের নামে প্রচার করা হচ্ছে মুসলিম বিদ্বেষী পোস্টার-লিফলেট,bangla,2,3,1,1.0,bengali_hate_v2
10,তারউপর এটা কেমন টাইটেল দিছস তোর ভিডিওর?,bangla,4,1,1,1.0,bengali_hate_v2
11,পেটের জন্য এই নোংরা কাজ টা না করেও অনেক পথ আছে টাকা ইনকাম করার ,bangla,4,1,1,1.0,bengali_hate_v2
12,ভোট ছাড়া সংসদে বসে আছে এখন আওয়ামী লীগের নির্লজ্জ এমপিরা তাদের চে ভালো আছে হিরো আলম ,bangla,1,2,1,1.0,bengali_hate_v2
13,রানু এবং তার মেয়েকে পাবনা হাসপাতালে পাঠাতে হবে ,bangla,4,1,1,1.0,bengali_hate_v2
14,"মাদারচোদ শালারা র্ধ্ম নিয়া ব্যবসা করে,  ",bangla,4,1,1,1.0,bengali_hate_v2
15,"আমি চাইনা ছাড়তে ক্ষমতা, যতই লাশ হোক জনতা ",bangla,5,-1,1,1.0,bengali_hate_v2
16,তুমি হাসিনা জঙ্গিবাদ উগ্রবাদ রাজাকার এই সব ডায়ালগ মাইরা আর কতদিন খাইবা।জনগনের চাকরি নাই।ভিসা নাই।তবে খাইতে পারবা। কারন জনগন সব হিজরা হয়ে গেছে,bangla,1,2,1,1.0,bengali_hate_v2
17,শেখ হাসিনার উচিত শফিউল্লাহর বিচার করা। ,bangla,1,2,1,1.0,bengali_hate_v2
18,দেহ ব্যবসায়ী মমতাজ যদি সংসদ সদস্য হতেপারে তাহলে হিরো আলম হতে পারবেনা কেনো?? ,bangla,4,1,1,1.0,bengali_hate_v2
