id,text,language,hate_type,target_group,severity,confidence,source_dataset
0,ইন্ডিয়া কি মাছ ধরা বন্ধ রাখছেএক নদীতে দুইনীতি কেমনে হয়,bangla,-1,-1,1,1.0,blp25_subtask_1b
1,লক্ষ টাকা ঘুষ দিয়ে অযোগ্য আর দায়িত্বহীন মানসিকতার মানুষ গুলো সরকারি চাকরিতে কাজ করেন আর সেই দায় এভাবেই দিতে হচ্ছে হাজারো মানুষের জীবন দিয়ে,bangla,-1,2,1,1.0,blp25_subtask_1b
2,ওহা ভবনের দালাল,bangla,-1,-1,1,1.0,blp25_subtask_1b
3,আর কতো শিখবে আমার সোনার ছেলেরা এগুলো কে টাকা দিয়ে কেন দলে রাখে আমি বুঝিনা খারাপ খেলার কারনে তাদের বেতন থেকে টাকা কাটা হোক,bangla,-1,1,1,1.0,blp25_subtask_1b
4,কি সাংঘাতিক ভাই রে তুই,bangla,-1,1,1,1.0,blp25_subtask_1b
5,লঞ্চ মালিকদের অভিশপ্ত চক্ষু পদ্মা সেতুর উপর,bangla,-1,3,1,1.0,blp25_subtask_1b
6,লুটপাট করে বিদেশে বাড়ি কিনেন যেভাবে খুশি খরচ করেন অর্থমন্ত্রী আপনাকে বলছি কাফনের কাপড় ছাড়া কিছু নিয়ে যাওয়া যায়না দুনিয়া থেকে কোটি মানুষের হক নষ্ট করার হিসাব কিন্তু আল্লাহ নিবে ভালো হয় মায়া কাটিয়ে ক্ষমতা ছেড়ে দেন,bangla,-1,1,1,1.0,blp25_subtask_1b
7,ওই কুকুরের শাস্তি চাই,bangla,-1,1,1,1.0,blp25_subtask_1b
8,সাবাস রাশিয়া অনেক অভিনন্দন রহিলজয় নিশ্চয় তোমাদের ইনশাআল্লাহ,bangla,-1,-1,1,1.0,blp25_subtask_1b
9,শালার ব্যাটা খুব বকা দিতে পারে ইচ্ছা করে না নির্লজ্জ কোথাকার ক্যামেরা সামনে কথা বলতে লজ্জা বোধ করে না,bangla,-1,1,1,1.0,blp25_subtask_1b
10,পাগলা সাংবাদিক এরামকো নয় হবে আরামকো,bangla,-1,1,1,1.0,blp25_subtask_1b
