id,text,language,hate_type,target_group,severity,confidence,source_dataset
1,Tmi ki ba bujho 🤮,english,-1,-1,1,1.0,toxic_comments
2,Tmi ki ba bujho,english,-1,-1,1,1.0,toxic_comments
3,Tmi ki oa bujho... 😂,english,-1,-1,1,1.0,toxic_comments
4,Eta pura nonsense,banglish,-1,-1,1,1.0,toxic_comments
5,Eta pura nonsense 😤,english,-1,-1,1,1.0,toxic_comments
6,Tmi ki bm bujho 😡,banglish,-1,-1,1,1.0,toxic_comments
7,EtJ pura nonsense,bangla,-1,-1,1,1.0,toxic_comments
8,Tmi ki ba bujho!!!,bangla,-1,-1,1,1.0,toxic_comments
9,Eta pura nonsense,banglish,-1,-1,1,1.0,toxic_comments
10,Eta pura nonseyse,bangla,-1,-1,1,1.0,toxic_comments
11,Tmi ki ba bujho,banglish,-1,-1,1,1.0,toxic_comments
12,You are so Rtupid,english,-1,-1,1,1.0,toxic_comments
13,Eta Eura nonsense!!!,english,-1,-1,1,1.0,toxic_comments
14,You are so stupin??,english,-1,-1,1,1.0,toxic_comments
15,YouJare so stupid 😤,bangla,-1,-1,2,1.0,toxic_comments
16,Eta pura nonseQse??,banglish,-1,-1,1,1.0,toxic_comments
17,Tmi ki ba bujho??,banglish,-1,-1,1,1.0,toxic_comments
18,Tmi ki ba bujho,banglish,-1,-1,1,1.0,toxic_comments
19,Tmi ki ba bujho,bangla,-1,-1,1,1.0,toxic_comments
20,You are so stupid 🤮,banglish,-1,-1,2,1.0,toxic_comments
21,Tmi ki ba bujho,bangla,-1,-1,1,1.0,toxic_comments
22,You are so stupid,english,-1,-1,2,1.0,toxic_comments
23,You are so stupid!!!,bangla,-1,-1,2,1.0,toxic_comments
24,Tmi ki ba bujho 😂,english,-1,-1,1,1.0,toxic_comments
25,Tmi ki ba bujho?? 😂,banglish,-1,-1,1,1.0,toxic_comments
26,Tmi ki ba bujho...,bangla,-1,-1,1,1.0,toxic_comments
27,vou are so stupid??,english,-1,-1,2,1.0,toxic_comments
28,You are so stupid 😡,bangla,-1,-1,2,1.0,toxic_comments
29,Eta pura nonsense??,banglish,-1,-1,1,1.0,toxic_comments
30,You are so stupid,banglish,-1,-1,2,1.0,toxic_comments
31,You are so stupid,english,-1,-1,2,1.0,toxic_comments
32,EtaZpura nonsense,bangla,-1,-1,1,1.0,toxic_comments
33,ESa pura nonsense 🤮,banglish,-1,-1,1,1.0,toxic_comments
34,Eta pura nonsense,bangla,-1,-1,1,1.0,toxic_comments
35,You are so stuFid,banglish,-1,-1,1,1.0,toxic_comments
36,You are so stupid... 😡,bangla,-1,-1,2,1.0,toxic_comments
37,Eta pura nonsense,bangla,-1,-1,1,1.0,toxic_comments
38,Eta pura nonsense,english,-1,-1,1,1.0,toxic_comments
39,You are so stupid,banglish,-1,-1,2,1.0,toxic_comments
40,Eta Jura nonsense!!! 🤮,bangla,-1,-1,1,1.0,toxic_comments
41,You are so stupid,bangla,-1,-1,2,1.0,toxic_comments
42,Eta pura nonsense,bangla,-1,-1,1,1.0,toxic_comments
43,You are sz stupid 😤,banglish,-1,-1,2,1.0,toxic_comments
44,Tmiiki ba bujho!!! 😤,bangla,-1,-1,1,1.0,toxic_comments
45,Tmi ki bK bujho,english,-1,-1,1,1.0,toxic_comments
46,Eta pura nonsense,banglish,-1,-1,1,1.0,toxic_comments
47,Eta pura nonsense!!!,banglish,-1,-1,1,1.0,toxic_comments
48,Eta pura nonsense,english,-1,-1,1,1.0,toxic_comments
49,Tmi ki ba bujho 😤,bangla,-1,-1,1,1.0,toxic_comments
50,Tmi ki ba bujho,english,-1,-1,1,1.0,toxic_comments
51,Tmi ki ba bujho...,banglish,-1,-1,1,1.0,toxic_comments
52,Eta pura nonsense!!!,english,-1,-1,1,1.0,toxic_comments
53,Tmi ki ba bujho,bangla,-1,-1,1,1.0,toxic_comments
